id,title,sweetness,saltiness,sourness,bitterness,savoriness,fattiness,spiciness
715769,Broccolini Quinoa Pilaf,,,,,,,
715573,Simple Skillet Lasagna,,,,,,,
659109,Salmon Quinoa Risotto,,,,,,,
648279,Italian Tuna Pasta,,,,,,,
648257,Italian Steamed Artichokes,,,,,,,
660266,Slow Cooked Corned Beef and Cabbage,,,,,,,
648247,Italian Seafood Stew,,,,,,,
640819,Crispy Italian Cauliflower Poppers Appetizer,,,,,,,
1095806,Spanish style salmon fillets,,,,,,,
1095745,Mushroom Hummus Crostini,,,,,,,
658753,Roma Tomato Bruschetta,,,,,,,
664737,Veggie Lasagna Rolls with Peppery Pecorino Marinara,,,,,,,
664565,Vegetable Minestrone Soup,,,,,,,
658515,Roasted Brussels Sprouts With Garlic,,,,,,,
639606,Classic Greek Moussaka,,,,,,,
715563,Pierogi Casserole,,,,,,,
1095742,Winter Vegetable Minestrone Soup,,,,,,,
715538,What to make for dinner tonight?? Bruschetta Style Pork & Pasta,,,,,,,
664678,Vegetarian Moussaka With Portabella,,,,,,,
640134,Corned Beef and Cabbage,,,,,,,
648275,Italian Tomato and Mozzarella Caprese,,,,,,,
640136,Corned Beef And Cabbage With Irish Mustard Sauce,,,,,,,
646034,Guinness Braised Corned Beef and Cabbage,,,,,,,
632935,Asparagus Lemon Risotto,,,,,,,
648176,Italian Meatloaf with Hard Boiled Eggs,,,,,,,
643471,"fresh corn, roasted tomato & pickled garlic pizza with cornmeal crust",,,,,,,
638088,Chicken Farfalle with Low-Fat Alfredo Sauce,,,,,,,
648259,Italian String Beans With Anchovies and Breadcrumbs,,,,,,,
646549,Heart Shaped Spinach Ravioli,,,,,,,
1095740,Golden Beet Panzanella,,,,,,,
645646,Grilled Chicken Gyros With Tzatziki,,,,,,,
657933,Ratatouille Pasta,,,,,,,
1095751,Fresh Tomato Risotto with Grilled Green Vegetables,,,,,,,
647124,Homemade Thin Crust Pizza + Pesto + Potato,,,,,,,
644476,German Goulash,,,,,,,
648190,Italian Pasta Salad with organic Arugula,,,,,,,
662294,Sun-Dried Tomato Romesco,,,,,,,
657312,Pumpkin gnocchi with basil and Parmesan,,,,,,,
1095836,Romanian Pea and Chicken Stew,,,,,,,
1096088,Baked Chicken Caprese,,,,,,,
664680,Vegetarian Mushroom Shepherd's Pie,,,,,,,
664419,Vegan Colcannon Soup,,,,,,,
633063,Austrian Goulash,,,,,,,
1697699,Sheet Pan Butternut Squash with Spicy Italian Sausage,,,,,,,
655400,Pear and Pesto Crostini,,,,,,,
652134,Mixed Paella,,,,,,,
640314,Crab Ravioli With Scallops and Gremolata,,,,,,,
656049,"Pierogies with Caramelized Onion, Cabbage, and Potato",,,,,,,
649225,Lamb Moussaka,,,,,,,
649354,Layered Greek Salad,,,,,,,
658632,Roasted Pumpkin and Barley Risotto,,,,,,,
638236,Chicken Pasta Primavera - Flower Patch Farmgirl Style,,,,,,,
649395,Lean Shepherd's Pie,,,,,,,
1095993,Slow Cooker Shanghai-Style Beef Borscht,,,,,,,
634891,Best Chicken Parmesan,,,,,,,
660843,Spanakopita (Greek Spinach Pie),,,,,,,
640869,Crock Pot Shredded French Dip,,,,,,,
656544,Polenta gnocchi with savoy cabbage and cheese,,,,,,,
1095810,Buffalo Mozzarella & Pepperoni Pizza with a Cauliflower Crust,,,,,,,
648718,Kale Colcannon,,,,,,,
648048,Italian Beef Braciole,,,,,,,
647645,Hungarian Beef Goulash,,,,,,,
1095841,Spanish Gazpacho Soup,,,,,,,
636610,"Butternut, Chicken and Feta Risotto",,,,,,,
644830,Gluten free focaccia,,,,,,,
634660,Beef Pot Pies with Irish Cheddar Crust,,,,,,,
656817,Pork Schnitzel And Apple Salad,,,,,,,
649850,Lemon-Pepper Fettucine Alfredo,,,,,,,
649292,Lasagne Roll Ups,,,,,,,
637811,Chestnut Risotto,,,,,,,
657249,Pumpkin Banana Protein Oat Bars,,,,,,,
656820,Pork Shoulder Tacos with Chipotle Greek Yogurt and Coleslaw,,,,,,,
1096161,Greek Chicken Sheet Pan Dinner with Green Beans and Feta,,,,,,,
645384,Greek Yogurt Chicken Salad,,,,,,,
657939,Ratatouille With Brie,,,,,,,
639599,Classic French Mussels,,,,,,,
643175,"Focaccia with Tomato, Green Onion and Garlic",,,,,,,
650119,Linguine Alla Carbonara,,,,,,,
635686,Borscht Soup,,,,,,,
75081,Beef Wellington,,,,,,,
651646,Mexican Lasagna with Chicken & Black Bean,,,,,,,
645354,Greek Shrimp Orzo,,,,,,,
641911,"Easy Chicken, Kielbasa and Shrimp Paella",,,,,,,
1098350,Light Greek Lemon Chicken Orzo Soup,,,,,,,
640064,Coriander Ravioli With Pumpkin & Cottage Cheese Filling,,,,,,,
715569,Strawberry Cheesecake Chocolate Crepes,,,,,,,
648097,Italian Chicken With Pepper,,,,,,,
650651,Make It Quick Italian Shrimp Rolls,,,,,,,
636360,Brussels Sprout Carbonara with Fettuccini,,,,,,,
638002,Chicken Cacciatore,,,,,,,
656329,Pizza bites with pumpkin,,,,,,,
650045,Lightened Ricotta Stuffed Shells With Italian Sausage Ragu,,,,,,,
649340,Layered Baked Eggplant Parmesan,,,,,,,
642287,Eggplant Fries with Tzatziki Sauce,,,,,,,
652651,Mushroom Crepes with Vegetarian Sauce,,,,,,,
642638,Fava Crostini,,,,,,,
644205,Garden Vegetable Ravioli With Tomato Brodo,,,,,,,
716414,"Red, White & Blue Crepes: Happy July 4th! @driscollsberry",,,,,,,
664689,Vegetarian Ratatouille,,,,,,,
1095746,Lemon and Edamame Risotto with Pecans,,,,,,,
643450,Fresh Cherry Scones,,,,,,,
1096208,Spinach Goats Cheese Roulade Main Dish,,,,,,,
654939,Pasta With Roasted Vegetables & Greek Olives,,,,,,,
659037,Salmon and Broccoli Crepes,,,,,,,
649183,Lamb and Fresh Goat Cheese Roulade,,,,,,,
1182871,Shrimp Scampi Zoodles,,,,,,,
657159,Prosciutto and Mushroom Ravioli With Basil Browned Butter Sauce,,,,,,,
642371,"Elk Italian Sausage Pizza With Ricotta Cheese, Sautéd Mushrooms and Onion",,,,,,,
648638,Julia Child's Coq au Vin,,,,,,,
648118,Sauteed Italian Eggplant Side Dish,,,,,,,
649718,Lemon Pasta Alfredo (Vegan),,,,,,,
660366,Smoked Salmon and Mascarpone Calzone,,,,,,,
653368,Nutmeg and Rosemary Butternut Squash Risotto,,,,,,,
656548,Polenta Pie With Italian Toppings,,,,,,,
640696,Creamy Risotto With Smoked Turkey Sausage,,,,,,,
650654,Make Olive Garden’s Delicious Pasta Fagioli At Home,,,,,,,
645315,Greek Inspired Spring Omelet,,,,,,,
646071,Gyros,,,,,,,
663771,Traditional Panzanella,,,,,,,
1095731,Peach and Pistachio Greek Yogurt Bowl,,,,,,,
644482,German Meatloaf Falscher Hase,,,,,,,
636593,Butternut Squash Pizza,,,,,,,
644917,Gnocchi and Wilted Spinach Salad,,,,,,,
664396,Vegan Beet Borscht,,,,,,,
636355,BRUSCHETTA STUFFED PORTOBELLOS,,,,,,,
633830,Baked Swedish Pancake,,,,,,,
649768,Lemon Rosemary Risotto,,,,,,,
646729,Herbed Vegetables In A Feta Quiche With A Wild Rice Crust,,,,,,,
715448,Creamy Alfredo and Shrimp Pasta,,,,,,,
637434,Chanterelle and Mangalitsa Speck Pizza,,,,,,,
657377,Pumpkin Ravioli With Browned Butter Sage Sauce,,,,,,,
639900,Colcannon,,,,,,,
643372,French Onion Salisbury Steak,,,,,,,
656506,Poached Prawns with Fettuccine and French String Beans,,,,,,,
716272,Nutella Crepes and Ice Cream,,,,,,,
651965,Mini Meatball & Ravioli Soup With Garlic Croutons,,,,,,,
638493,Chicken/sweet Potato Roulade With Goat Cheese Sauce,,,,,,,
665446,X-Country Double Lobster Risotto,,,,,,,
642230,Egg Souffle With Bacon and Asparagus,,,,,,,
1095851,Simple Broccoli Cheddar Quiche,,,,,,,
654573,Panzanella Toscana,,,,,,,
643330,French Dips With Au Jus,,,,,,,
665769,Zucchini Pizza Boats,,,,,,,
658803,Rosemary Rum Raisin Soda Bread with Pecans,,,,,,,
639794,Coconut milk risotto (Arborio rice pudding),,,,,,,
654331,"Paella Catalane With Mussels, Squid & Crevettes",,,,,,,
632046,Alaskan Smoked Salmon Nicoise Salad With Alouette Crumbled Feta,,,,,,,
657956,"Ravioli With Arugula, Pine Nuts, Raisins & Cream",,,,,,,
633876,Baked Ziti,,,,,,,
634481,Bbq Chicken and Goat Cheese Ravioli,,,,,,,
631756,Savory Radicchio and Prosciutto Crostini Topped with Sweet Syrupy Sapa,,,,,,,
654835,Pasta e Fagioli (Pasta and Beans),,,,,,,
644889,Gluten-Free Lamb Moussaka,,,,,,,
653098,Niçoise Salad,,,,,,,
651076,Marinated Souvlaki,,,,,,,
649147,La Panzanella,,,,,,,
640085,Corn Flan Side Dish,,,,,,,
649431,Leek and Mushroom Quiche,,,,,,,
642147,Easy Weeknight Beef Stroganoff,,,,,,,
658920,Rustic Grilled Peaches Pizza,,,,,,,
652624,Mushroom and Parmesan Brown Rice Risotto,,,,,,,
1095794,Spanish Tortilla,,,,,,,
652760,Mussels in Irish Ale,,,,,,,
648565,Jen's Swedish Meatballs,,,,,,,
647661,Hungarian Potato Soup,,,,,,,
634779,Beet Gnocchi With Steak and Brown Butter Sauce,,,,,,,
631863,3 Cheese Ravioli,,,,,,,
632094,Almond Biscotti,,,,,,,
637478,Chavrie Spinach Quiche,,,,,,,
715454,Italian Style Meatballs,,,,,,,
653777,Open Ravioli With Butternut Squash and Amaretti,,,,,,,
640767,Crepes Suzette,,,,,,,
650700,Mama Mia's Minestrone,,,,,,,
1095945,Tuna Sandwich Savory Cake (Swedish Smörgåstårta),,,,,,,
652687,Mushroom Risotto over Broccoli Rabe,,,,,,,
633133,Avocado Chicken Parmigiana,,,,,,,
1096190,Leek and goat’s cheese quiche,,,,,,,
647266,Honey Panna Cotta With Blueberries and Graham Crackers,,,,,,,
648923,King Crab Risotto,,,,,,,
636392,Buckwheat Crepes,,,,,,,
637054,Caramelized Onion and Bacon Pizza,,,,,,,
633752,Baked Ravioli & Meat Sauce,,,,,,,
1005368,Panzanella Salad,,,,,,,
67308,Chocolate Souffle,,,,,,,
645365,Greek Style Honey and Pistachio Cake,,,,,,,
633883,Baked Ziti Casserole,,,,,,,
639597,Classic French Onion Soup,,,,,,,
647659,Hungarian Plum Dumplings,,,,,,,
662605,"Sweet Potato, Sausage and Caramelized Onion Pizza",,,,,,,
639637,Classic scones,,,,,,,
661427,"Spring Risotto with Shrimp, Asparagus and Artichoke Hearts",,,,,,,
648006,Irish Soda Bread By Mommie Cooks,,,,,,,
659459,Savory Carrot Souffle,,,,,,,
634699,Beef Stroganoff w Bella Mushrooms,,,,,,,
646660,Goat Cheese and Fig Crostini,,,,,,,
658300,Rich Jelly Scones,,,,,,,
653500,"Oatmeal, Apricot, Walnut Soda Bread",,,,,,,
637348,Celery Apple Risotto With Crispy Pancetta,,,,,,,
639825,Coconut Thai Risotto With Seared Scallops,,,,,,,
649988,Light and Easy Alfredo,,,,,,,
637042,Caramelised Onion and Mushroom Quiche,,,,,,,
635207,Blackberry Creme Brulee,,,,,,,
639557,Clams With Spanish Sausage,,,,,,,
644504,German White Chocolate Cake,,,,,,,
658682,Roasted Tomato Crostini with Olive Tapenade,,,,,,,
665776,Zucchini Quiche & Almond Flax Crust,,,,,,,
644488,German Rhubarb Cake with Meringue,,,,,,,
660842,Spanakopita Cups,,,,,,,
637675,Cheesy Potato Corn Scones,,,,,,,
648010,Irish Whiskey Pie,,,,,,,
636286,Brown Butter and Sage Ravioli,,,,,,,
658585,Roasted Fish Bruschetta,,,,,,,
644965,"Goat Cheese, Fig And Proscuitto Crostini",,,,,,,
654571,Panna Cotta with Raspberry and Orange Sauce,,,,,,,
652605,Mushroom & Gruyere Quiche,,,,,,,
1096246,Apple Cinnamon Quiche,,,,,,,
636970,Caramel Almond Berry Trifle,,,,,,,
661725,Strawberries and Cream Scones,,,,,,,
654887,Pasta Shells With Ricotta Cheese Stuffing,,,,,,,
644477,German Lemon Cake With Cranberry Aka Cranberry Zitronenkuchen,,,,,,,
647895,Individual Tiramisu Parfaits,,,,,,,
649419,Leche Flan (Caramel Flan),,,,,,,
634847,Berry and White Chocolate Trifle,,,,,,,
655300,Peanut Butter Cup Trifle,,,,,,,
648084,Italian Caprese Sliders,,,,,,,
654523,Paneer & Fig Pizza,,,,,,,
660709,Southwest Blt Crostini,,,,,,,
655698,Pepperoni Pizza Muffins,,,,,,,
641650,Dried Cherry-Almond Scones,,,,,,,
648715,Kale Bruschetta,,,,,,,
655003,Pate De Chocolate,,,,,,,
640123,Cornbread Panzanella,,,,,,,
716412,"Roasted Cranberries, Ricotta & Honey Crostini",,,,,,,
1061943,How to Make the Ultimate Christmas Fruit Pizza,,,,,,,
660868,Spanish Meatballs In Tomato Sauce,,,,,,,
644785,Gluten And Dairy Free Alfredo Lasagna,,,,,,,
641651,Dried Fruit and Ginger Scones,,,,,,,
1095839,Pernik - Czech Spice Cake,,,,,,,
650602,Madeleines With Irish Whiskey Fudge,,,,,,,
632949,Asparagus Quiche,,,,,,,
659463,Savory Cheese Dill Scones,,,,,,,
660225,Skillingsbollar - Norwegian Cinnamon and Sugar Rolls,,,,,,,
658681,Roasted Tomato and Garlic Quiche,,,,,,,
637477,Chavrie Fresh Goat Cheese Souffle,,,,,,,
643851,Frikadellen German Meat Patties,,,,,,,
654657,Parmesan Cheese Scones,,,,,,,
632208,Almost Heaven Cake,,,,,,,
1697663,for Shrimp Scampi with Garlic and Lemon,,,,,,,
631877,5 Minute Tiramisu,,,,,,,
635108,Black Forest Cake For Blogger Friends,,,,,,,
642777,Fig and Goat Cheese Pizza With Pesto,,,,,,,
664470,Vegan Pea and Mint Pesto Bruschetta,,,,,,,
642559,Fallen Chocolate Cakes With Spanish Paprika,,,,,,,
59431,Berry Trifle,,,,,,,
635375,Blue Cornmeal Dried Blueberry and Pinon Nut Biscotti,,,,,,,
